electrode_number,E_Brain,X,Y,Z,position_marker,E_EEG,position
17,SFI,72.1602401733398,174.930633544922,151.406066894531,Y,E17,"[72.1602401733398, 174.930633544922, 151.406066894531]"
18,SF2,68.9037780761719,169.224990844727,152.038833618164,Y,E18,"[68.9037780761719, 169.224990844727, 152.038833618164]"
19,SF3,65.7881393432617,162.271057128906,153.842468261719,Y,E19,"[65.7881393432617, 162.271057128906, 153.842468261719]"
20,SF4,62.4260597229004,154.453430175781,154.945648193359,Y,E20,"[62.4260597229004, 154.453430175781, 154.945648193359]"
21,SF5,60.4105911254883,148.116058349609,157.6220703125,Y,E21,"[60.4105911254883, 148.116058349609, 157.6220703125]"
22,SF6,59.5581436157227,142.179077148438,158.338684082031,Y,E22,"[59.5581436157227, 142.179077148438, 158.338684082031]"
23,SF7,59.660888671875,136.026672363281,160.025299072266,Y,E23,"[59.660888671875, 136.026672363281, 160.025299072266]"
24,SF8,58.2647857666016,130.677978515625,161.775634765625,Y,E24,"[58.2647857666016, 130.677978515625, 161.775634765625]"
26,SF10,66.1818542480469,169.434585571289,146.274078369141,Y,E26,"[66.1818542480469, 169.434585571289, 146.274078369141]"
27,SF11,63.5367622375488,162.924423217773,148.504333496094,Y,E27,"[63.5367622375488, 162.924423217773, 148.504333496094]"
28,SF12,59.4920921325684,154.227355957031,149.340957641602,Y,E28,"[59.4920921325684, 154.227355957031, 149.340957641602]"
29,SF13,57.9838714599609,147.911956787109,151.544738769531,Y,E29,"[57.9838714599609, 147.911956787109, 151.544738769531]"
30,SF14,56.4822006225586,142.494842529297,152.984344482422,Y,E30,"[56.4822006225586, 142.494842529297, 152.984344482422]"
31,SF15,56.7101211547852,135.000671386719,154.915008544922,Y,E31,"[56.7101211547852, 135.000671386719, 154.915008544922]"
32,SF16,55.9335479736328,128.979965209961,155.66096496582,Y,E32,"[55.9335479736328, 128.979965209961, 155.66096496582]"
33,SF17,69.1534881591797,176.743194580078,137.278015136719,Y,E33,"[69.1534881591797, 176.743194580078, 137.278015136719]"
34,SF18,64.4123153686523,169.268661499023,139.149353027344,Y,E34,"[64.4123153686523, 169.268661499023, 139.149353027344]"
35,SF19,60.9909744262695,162.525833129883,141.406311035156,Y,E35,"[60.9909744262695, 162.525833129883, 141.406311035156]"
36,SF20,58.5594863891602,154.69580078125,142.623657226562,Y,E36,"[58.5594863891602, 154.69580078125, 142.623657226562]"
37,SF21,56.2932815551758,147.804016113281,144.171966552734,Y,E37,"[56.2932815551758, 147.804016113281, 144.171966552734]"
38,SF22,55.555965423584,140.761383056641,146.221740722656,Y,E38,"[55.555965423584, 140.761383056641, 146.221740722656]"
39,SF23,55.5834350585938,133.324523925781,148.433532714844,Y,E39,"[55.5834350585938, 133.324523925781, 148.433532714844]"
40,SF24,55.7644844055176,127.487174987793,149.060928344727,Y,E40,"[55.7644844055176, 127.487174987793, 149.060928344727]"
41,SF25,68.7021102905273,175.923095703125,131.317794799805,Y,E41,"[68.7021102905273, 175.923095703125, 131.317794799805]"
42,SF26,64.4317474365234,169.109771728516,131.386001586914,Y,E42,"[64.4317474365234, 169.109771728516, 131.386001586914]"
43,SF27,60.5978622436523,161.586685180664,133.150573730469,Y,E43,"[60.5978622436523, 161.586685180664, 133.150573730469]"
44,SF28,57.840217590332,154.25114440918,135.269439697266,Y,E44,"[57.840217590332, 154.25114440918, 135.269439697266]"
45,SF29,56.0388946533203,147.298141479492,136.793258666992,Y,E45,"[56.0388946533203, 147.298141479492, 136.793258666992]"
46,SF30,55.1604080200195,140.846969604492,138.883117675781,Y,E46,"[55.1604080200195, 140.846969604492, 138.883117675781]"
47,SF31,55.6796722412109,133.485687255859,140.637985229492,Y,E47,"[55.6796722412109, 133.485687255859, 140.637985229492]"
48,SF32,55.7699356079102,126.016441345215,142.495635986328,Y,E48,"[55.7699356079102, 126.016441345215, 142.495635986328]"
49,LSF1,72.1822357177734,169.455718994141,119.531860351562,Y,E49,"[72.1822357177734, 169.455718994141, 119.531860351562]"
50,LSF2,66.5587310791016,164.281341552734,121.879371643066,Y,E50,"[66.5587310791016, 164.281341552734, 121.879371643066]"
51,LSF3,62.0362892150879,158.22802734375,123.973388671875,Y,E51,"[62.0362892150879, 158.22802734375, 123.973388671875]"
52,LSF4,61.7607421875,152.227890014648,125.936279296875,Y,E52,"[61.7607421875, 152.227890014648, 125.936279296875]"
53,LSF5,60.1532859802246,145.183746337891,128.89453125,Y,E53,"[60.1532859802246, 145.183746337891, 128.89453125]"
54,LSF6,57.4535598754883,138.451629638672,131.176910400391,Y,E54,"[57.4535598754883, 138.451629638672, 131.176910400391]"
55,LSF7,56.0158920288086,131.789123535156,134.462738037109,Y,E55,"[56.0158920288086, 131.789123535156, 134.462738037109]"
56,LSF8,55.5373954772949,123.253829956055,136.815002441406,Y,E56,"[55.5373954772949, 123.253829956055, 136.815002441406]"
73,PF1,67.8689498901367,101.072708129883,187.425979614258,Y,E73,"[67.8689498901367, 101.072708129883, 187.425979614258]"
74,PF2,66.7483825683594,89.1223297119141,185.462127685547,Y,E74,"[66.7483825683594, 89.1223297119141, 185.462127685547]"
75,PF3,67.0771484375,80.8260116577148,183.805725097656,Y,E75,"[67.0771484375, 80.8260116577148, 183.805725097656]"
76,PF4,67.2437362670898,72.1940841674805,181.697662353516,Y,E76,"[67.2437362670898, 72.1940841674805, 181.697662353516]"
77,PF5,69.3891296386719,63.7685699462891,179.459335327148,Y,E77,"[69.3891296386719, 63.7685699462891, 179.459335327148]"
78,PF6,59.2070388793945,103.455429077148,179.600326538086,Y,E78,"[59.2070388793945, 103.455429077148, 179.600326538086]"
79,PF7,58.3119316101074,92.0746307373047,177.409271240234,Y,E79,"[58.3119316101074, 92.0746307373047, 177.409271240234]"
80,PF8,60.0567626953125,83.5290374755859,176.354217529297,Y,E80,"[60.0567626953125, 83.5290374755859, 176.354217529297]"
81,PF9,60.5220260620117,75.1657791137695,174.253921508789,Y,E81,"[60.5220260620117, 75.1657791137695, 174.253921508789]"
82,PF10,64.5708923339844,65.7020874023438,171.973205566406,Y,E82,"[64.5708923339844, 65.7020874023438, 171.973205566406]"
83,PF11,55.6717109680176,106.390571594238,172.669845581055,Y,E83,"[55.6717109680176, 106.390571594238, 172.669845581055]"
84,PF12,56.1215133666992,94.9123916625977,170.047561645508,Y,E84,"[56.1215133666992, 94.9123916625977, 170.047561645508]"
85,PF13,57.0874862670898,85.9356231689453,168.296264648438,Y,E85,"[57.0874862670898, 85.9356231689453, 168.296264648438]"
86,PF14,57.7116813659668,78.0407943725586,166.816741943359,Y,E86,"[57.7116813659668, 78.0407943725586, 166.816741943359]"
87,PF15,56.957389831543,70.2280654907227,165.070007324219,Y,E87,"[56.957389831543, 70.2280654907227, 165.070007324219]"
88,PF16,53.3382110595703,107.637084960938,165.450134277344,Y,E88,"[53.3382110595703, 107.637084960938, 165.450134277344]"
89,PF17,53.7717437744141,97.1682968139648,163.038818359375,Y,E89,"[53.7717437744141, 97.1682968139648, 163.038818359375]"
90,PF18,55.0044860839844,88.3092041015625,161.302825927734,Y,E90,"[55.0044860839844, 88.3092041015625, 161.302825927734]"
91,PF19,55.3889694213867,80.0342712402344,159.727966308594,Y,E91,"[55.3889694213867, 80.0342712402344, 159.727966308594]"
92,PF20,55.8210182189941,73.0829162597656,157.688522338867,Y,E92,"[55.8210182189941, 73.0829162597656, 157.688522338867]"
93,ST1,86.9535522460938,133.737152099609,86.8340301513672,Y,E93,"[86.9535522460938, 133.737152099609, 86.8340301513672]"
94,ST2,80.2722473144531,134.611236572266,86.0517501831055,Y,E94,"[80.2722473144531, 134.611236572266, 86.0517501831055]"
95,ST3,73.6798095703125,135.10107421875,88.068977355957,Y,E95,"[73.6798095703125, 135.10107421875, 88.068977355957]"
96,ST4,67.0952835083008,136.11882019043,92.135856628418,Y,E96,"[67.0952835083008, 136.11882019043, 92.135856628418]"
97,ST5,62.1291198730469,135.757171630859,98.8020629882812,Y,E97,"[62.1291198730469, 135.757171630859, 98.8020629882812]"
98,ST6,82.8837432861328,123.273544311523,86.0164947509766,Y,E98,"[82.8837432861328, 123.273544311523, 86.0164947509766]"
99,ST7,75.2488403320312,124.820259094238,85.2145843505859,Y,E99,"[75.2488403320312, 124.820259094238, 85.2145843505859]"
100,ST8,69.0505065917969,125.295883178711,86.6389541625977,Y,E100,"[69.0505065917969, 125.295883178711, 86.6389541625977]"
101,ST9,62.0740776062012,127.038291931152,94.2396697998047,Y,E101,"[62.0740776062012, 127.038291931152, 94.2396697998047]"
102,ST10,58.0985145568848,125.449493408203,100.966384887695,Y,E102,"[58.0985145568848, 125.449493408203, 100.966384887695]"
103,ST11,81.2646484375,114.538864135742,91.7096710205078,Y,E103,"[81.2646484375, 114.538864135742, 91.7096710205078]"
104,ST12,74.4102783203125,115.46989440918,90.408935546875,Y,E104,"[74.4102783203125, 115.46989440918, 90.408935546875]"
105,ST13,67.6446380615234,116.775939941406,86.9570922851562,Y,E105,"[67.6446380615234, 116.775939941406, 86.9570922851562]"
106,ST14,60.3379135131836,117.548210144043,91.2717895507812,Y,E106,"[60.3379135131836, 117.548210144043, 91.2717895507812]"
107,ST15,55.4520874023438,117.434524536133,99.4666442871094,Y,E107,"[55.4520874023438, 117.434524536133, 99.4666442871094]"
108,ST16,78.5848236083984,105.639297485352,98.2516174316406,Y,E108,"[78.5848236083984, 105.639297485352, 98.2516174316406]"
109,ST17,71.6442260742188,106.200912475586,97.8644561767578,Y,E109,"[71.6442260742188, 106.200912475586, 97.8644561767578]"
110,ST18,64.7511901855469,107.125915527344,92.9366455078125,Y,E110,"[64.7511901855469, 107.125915527344, 92.9366455078125]"
111,ST19,56.3232727050781,109.10791015625,93.3737106323242,Y,E111,"[56.3232727050781, 109.10791015625, 93.3737106323242]"
112,ST20,53.4413681030273,110.396095275879,99.9279174804688,Y,E112,"[53.4413681030273, 110.396095275879, 99.9279174804688]"
